DateHourandMinute,CustomDimension002,SourceMedium,Campaign,Page,Users
202205250000,1327968788.1653429420,yandex.ru / referral,(not set),/swimming/school-level1,1
202205250000,1399137868.1653398124,Email / Regular,AllSupersport,/lectures/kod-stoikov-praktiki-stoitsizma-dlya-xxi-veka,1
